Título do filme,vote_count,Ano,Plotwords,Gênero,Diretor,poster_path,overview,keywords
The Flintstones,2567.0,1994,Yabba-Dabba-Doo!,"Fantasy, Comedy, Family",Brian Levant,/k7gkf5Wa8YZ9iyEOylBMfw9pnkp.jpg,"""Yabba-Dabba-Doo!""","friendship, plan, jealousy, manager, adoption, bad mother-in-law, family's daily life, stone age, best friend, dinosaur, cavemen"
All the President's Men,1991.0,1976,The most devastating detective story of this century.,"Drama, Mystery, Thriller",Alan J. Pakula,/cPtSHR7D2WGsDBfnC5DxV927hKn.jpg,"""The most devastating detective story of this century.""","newspaper, journalist, plan, washington dc, usa, shadowing, politics, burglar, fbi, wiretap, watergate scandal, based on true story, conspiracy, newspaper man, watergate"
City Lights,2378.0,1931,True Blind Love,"Comedy, Drama, Romance",Charlie Chaplin,/bXNvzjULc9jrOVhGfjcc64uKZmZ.jpg,"""True Blind Love""","blindness and impaired vision, eye operation, operation, love of one's life, suicide attempt, flower shop, flower girl, tramp, love, black and white, millionaire, silent film, blind girl, little tramp, feel good"
The Great Dictator,3592.0,1940,Once again - the whole world laughs!,"Comedy, War",Charlie Chaplin,/1QpO9wo7JWecZ4NiBuu625FiY1j.jpg,"""Once again - the whole world laughs!""","amnesia, nazi, hairdresser, propaganda, world war i, dictator, jewish ghetto, fascism, world war ii, national socialism, national socialist party, satire, speech, black and white, barbershop, anti war, fictitious country"
Cars,14806.0,2006,Ahhh... it's got that new movie smell.,"Animation, Adventure, Comedy, Family",John Lasseter,/2Touk3m5gzsqr1VsvxypdyHY5ci.jpg,"""Ahhh... it's got that new movie smell.""","friendship, car race, success, route 66, porsche, retirement, road trip, anthropomorphism, rural area, los angeles, california, aftercreditsstinger, duringcreditsstinger"
Cinderella Man,2326.0,2005,One man's extraordinary fight to save the family he loved.,"Romance, Drama, History",Ron Howard,/wkeOjIcpuqLMW4GnVowlM9VI0JE.jpg,"""One man's extraordinary fight to save the family he loved.""","daughter, transporter, sports, world cup, socially deprived family, boxer, family's daily life, netherlands, comeback, defeat, training, heavy weight, folk hero, biography, boxing"
Dawn of the Dead,2233.0,1978,"When there’s no more room in HELL, the dead will walk the EARTH!","Horror, Science Fiction",George A. Romero,/70MY8H0bLMvXf8ED2SgVMPhDVVM.jpg,"""When there’s no more room in HELL, the dead will walk the EARTH!""","helicopter, army, chaos, bite, materialism, machete, gore, martial law, state of emergency, shopping mall, infection, biker, truck, consumerism, zombie, motorcycle gang, exploding head, mall, tv production, zombie apocalypse, pittsburgh, pennsylvania"
Dawn of the Dead,4321.0,2004,"When there's no more room in Hell, the dead will walk the Earth.","Horror, Action",Zack Snyder,/ttquyxStEEctzghtA2f4PUGprDr.jpg,"""When there's no more room in Hell, the dead will walk the Earth.""","helicopter, army, chaos, bite, materialism, machete, gore, martial law, state of emergency, shopping mall, infection, biker, truck, consumerism, zombie, motorcycle gang, exploding head, mall, tv production, zombie apocalypse, pittsburgh, pennsylvania"
Do the Right Thing,1910.0,1989,"It's the hottest day of the summer. You can do nothing, you can do something, or you can...",Drama,Spike Lee,/63rmSDPahrH7C1gEFYzRuIBAN9W.jpg,"""It's the hottest day of the summer. You can do nothing, you can do something, or you can...""","new york city, police brutality, hip-hop, italian american, culture clash, chaos, black people, heat, street war, restaurant critic, radio transmission, punk rock, pizzeria, police operation, pizza, love, money, racism, brooklyn, new york city, heatwave"
Galaxy Quest,2423.0,1999,A comedy of galactic proportions.,"Comedy, Science Fiction, Adventure",Dean Parisot,/fZXSwgZknp81vmciTb86rw0MejV.jpg,"""A comedy of galactic proportions.""","spacecraft, teleportation, space battle, parody, spoof, fans, fan convention, actors, tv show, humanoid alien, galaxy quest"
Gremlins,6810.0,1984,Cute. Clever. Mischievous. Intelligent. Dangerous.,"Fantasy, Horror, Comedy",Joe Dante,/6m0F7fsXjQvUbCZrPWcJNrjvIui.jpg,"""Cute. Clever. Mischievous. Intelligent. Dangerous.""","small town, monster, holiday, department store, pet, human animal relationship, bars and restaurants, sunlight, chain saw, salesperson, midnight, fur, gremlin, banking, ymca, puppet, puppetry, christmas, pets"
Gremlins 2: The New Batch,2800.0,1990,Here they grow again.,"Comedy, Horror, Fantasy",Joe Dante,/35F5yD7MljvBE2AC0NHAVCoPGEi.jpg,"""Here they grow again.""","dying and death, new york city, monster, mutation, cleverness, skyscraper, mutant, human animal relationship, current, electric shock, restaurant, gremlin, research station, puppetry, cowardliness, creature, pets, electricity"
Godzilla,4119.0,1998,Size does matter.,"Science Fiction, Action, Thriller",Roland Emmerich,/xJVl1I95StraYAwaNbBkVoWE2qA.jpg,"""Size does matter.""","japan, monster, san francisco, california, hawaii, giant monster, tsunami, remake, prehistoric creature, golden gate bridge, dinosaur, kaiju, honolulu, hawaii, disaster movie, global threat, animal horror, godzilla, monsterverse, cliché, excited"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,5997.0,1964,The hot-line suspense comedy.,"Comedy, War",Stanley Kubrick,/6x7MzQ6BOMlRzam1StcmPO9v61g.jpg,"""The hot-line suspense comedy.""","usa president, general, cold war, strategic air command, dark comedy, nuclear missile, satire, black and white, war room, bomber pilot, nuclear weapons, ex-nazi, anti war, doomsday device, absurdism, provocative, bold"
For a Few Dollars More,4295.0,1965,"The man with no name is back... the man in black is waiting... a walking arsenal - he uncoils, strikes and kills!",Western,Sergio Leone,/ooqASvA7qxlTVKL3KwOzBwy57Dh.jpg,"""The man with no name is back... the man in black is waiting... a walking arsenal - he uncoils, strikes and kills!""","bounty hunter, pot smoking, rural area, spaghetti western, right hand man, piano, dollars trilogy"
Lethal Weapon,4861.0,1987,If these two can learn to stand each other... the bad guys don't stand a chance.,"Action, Comedy, Thriller",Richard Donner,/6gt44oqb4nE8vflPElffeGwsHVl.jpg,"""If these two can learn to stand each other... the bad guys don't stand a chance.""","showdown, police, self-destruction, mixed martial arts, los angeles, california, police detective, ex soldier, wisecrack humor, buddy cop, lapd, maverick cop, homicide detective, christmas, death of wife, action hero"
Lethal Weapon 2,3614.0,1989,The magic is back!,"Action, Adventure, Comedy, Crime, Thriller",Richard Donner,/ZsUGxTnZ4TzTrHSAfUPJcliL1K.jpg,"""The magic is back!""","showdown, police, loss of loved one, sequel, mixed martial arts, gang, los angeles, california, police detective, wisecrack humor, buddy cop, diplomatic immunity, lapd, maverick cop, action hero"
Lethal Weapon 3,3131.0,1992,The magic is back again!,"Action, Comedy, Thriller, Crime",Richard Donner,/smzJxEnusgqv3bvHIWwf4cuwPcr.jpg,"""The magic is back again!""","showdown, police, sequel, mixed martial arts, los angeles, california, rookie cop, wisecrack humor, buddy cop, lapd, maverick cop, aftercreditsstinger, action hero"
Lethal Weapon 4,2843.0,1998,The faces you love. The action you expect.,"Action, Adventure, Comedy, Crime, Thriller",Richard Donner,/vl4n3uO602y8nDsqjE4RIMnSy8Q.jpg,"""The faces you love. The action you expect.""","showdown, police, sequel, mixed martial arts, los angeles, california, house fire, wisecrack humor, buddy cop, lapd, maverick cop, revolver, action hero"
Lawrence of Arabia,3309.0,1962,Nothing is written.,"Adventure, History, War",David Lean,/AiAm0EtDvyGqNpVoieRw4u65vD1.jpg,"""Nothing is written.""","cairo, world war i, arabian, horse, jerusalem, israel, british army, british empire, damascus, camel, based on true story, gay interest, historical fiction, quicksand, desert, arab, ottoman empire"
Halloween,6028.0,1978,The night he came home!,"Horror, Thriller",John Carpenter,/wijlZ3HaYMvlDTPqJoTCWKFkCPU.jpg,"""The night he came home!""",halloween
Heat,8035.0,1995,A Los Angeles crime saga.,"Crime, Drama, Action",Michael Mann,/umSVjVdbVwtx5ryCA2QXL44Durm.jpg,"""A Los Angeles crime saga.""","hacker, hack"
Ice Age: The Meltdown,10162.0,2006,Kiss your nuts goodbye.,"Animation, Family, Comedy, Adventure",Carlos Saldanha,/zDduhCHasKQ9YOTvlOreHem7Wbi.jpg,"""Kiss your nuts goodbye.""","mammoth, sloth, ice age, barrier ice, ice melting, iceberg, flooding, deluge, lovers, sequel, saber-toothed tiger"
Kindergarten Cop,2703.0,1990,"Go ahead, YOU tell him you didn't do your homework.",Comedy,Ivan Reitman,/nKnHWwkXyvhzCYWm3FyRAv3qBrl.jpg,"""Go ahead, YOU tell him you didn't do your homework.""","drug dealer, dying and death, police, crime fighter, kiss, kindergarten, education, teacher"
Madagascar,11475.0,2005,They weren't born in the wild... They were shipped there.,"Family, Animation, Adventure, Comedy","Tom McGrath, Eric Darnell",/zMpJY5CJKUufG9OTw0In4eAFqPX.jpg,"""They weren't born in the wild... They were shipped there.""","friendship, island, escape, africa, lion, zoo, hippopotamus, giraffe, penguin, cartoon, zebra, slapstick comedy, madagascar, animal, lemur, escaped animal, talking animal"
Mission: Impossible,9724.0,1996,Expect the impossible.,"Adventure, Action, Thriller",Brian De Palma,/l5uxY5m5OInWpcExIpKG6AR3rgL.jpg,"""Expect the impossible.""","mission, london, england, cia, computer, paris, france, undercover, espionage, secret mission, arms deal, spy, secret identity, headquarter, embassy, secret base, prague, czech republic, secret agent, tgv, terrorism, agent"
Mission: Impossible II,7354.0,2000,Expect the impossible again.,"Adventure, Action, Thriller",John Woo,/hfnrual76gPeNFduhD4xzHWpfTw.jpg,"""Expect the impossible again.""","dying and death, island, cia, helicopter, computer, spain, undercover, skyscraper, secret mission, spy, secret identity, ex-lover, secret agent, duel, lethal virus, rescue team, agent, research laboratory"
Mission: Impossible III,7417.0,2006,The mission begins.,"Adventure, Action, Thriller",J.J. Abrams,/vKGYCpmQyV9uHybWDzXuII8Los5.jpg,"""The mission begins.""","mask, mission, berlin, germany, cia, computer, the white house, shanghai, china, funeral, explosive, secret mission, spy, vatican, secret identity, traitor, map, honeymoon, pretended murder, letter, covered investigation, secret agent, stamp, hard drive, e-mail, decipherment, suitcase, revenge, murder, hospital, duel, disguise, celebration, research laboratory, blast"
Spaceballs,3273.0,1987,May the schwartz be with you.,"Comedy, Science Fiction",Mel Brooks,/kNbaxEsnCyWBTfANVPHayujBsxp.jpg,"""May the schwartz be with you.""","galaxy, android, space marine, laser gun, temple, swordplay, space battle, space travel, space mission, satire, altar, magnet beam, speed of light, plastic surgery, password, parody, spoof"
The Maltese Falcon,1819.0,1941,A story as EXPLOSIVE as his BLAZING automatics!,"Mystery, Crime, Thriller",John Huston,/bf4o6Uzw5wqLjdKwRuiDrN1xyvl.jpg,"""A story as EXPLOSIVE as his BLAZING automatics!""","based on novel or book, detective, ladies' man, femme fatale, womanizer, film noir, murder, statuette, private detective, black bird, pre-code, fall guy, adulterous affair"
The Magnificent Seven,1919.0,1960,They were seven…and they fought like seven hundred!,"Western, Action, Adventure",John Sturges,/e5ToxOyJwuZD4VOfI0qEn5uIjeJ.jpg,"""They were seven…and they fought like seven hundred!""","friendship, village, horse, remake, bandit, farmer, cowboy, white man's burden, henry rifle, hired gun"
Spartacus,2308.0,1960,They trained him to kill for their pleasure ... but they trained him a little too well,"History, War, Drama, Adventure",Stanley Kubrick,/r0Fgg1GyZgzokaiw2HFQv3oPaL2.jpg,"""They trained him to kill for their pleasure ... but they trained him a little too well""",ballet
Dog Day Afternoon,3220.0,1975,"Anything can happen during the dog days of summer. On August 22nd, 1972, everything did.","Crime, Drama, Thriller",Sidney Lumet,/mavrhr0ig2aCRR8d48yaxtD5aMQ.jpg,"""Anything can happen during the dog days of summer. On August 22nd, 1972, everything did.""","new york city, police, hostage, bank, fbi, heist, bank robbery, brooklyn, new york city, bank cashier, car procession, attica, unhappy marriage, based on magazine, newspaper or article, dramatic, audacious"
Paths of Glory,3178.0,1957,It explodes in the no-man's land no picture ever dared cross before!,"War, Drama",Stanley Kubrick,/p7OHwomA8UOhe3EhckF2IetBTh9.jpg,"""It explodes in the no-man's land no picture ever dared cross before!""","army, france, based on novel or book, general, germany, world war i, patriotism, cowardice, idealism, idealist, black and white, soldier, anti war, 1910s, fighting the system"
Seven Years in Tibet,3028.0,1997,At the end of the world his real journey began.,"Adventure, Drama, History",Jean-Jacques Annaud,/5euQXAgJ34TdUFl1t3O6Jw2lJAs.jpg,"""At the end of the world his real journey began.""","himalaya mountain range, buddhism, buddhist monk, world war ii, prisoner of war, mountain, monsoon, austria, tibet, dalai lama, mountaineer, lhasa, wedding, based on memoir or autobiography, people's liberation army"
Irreversible,3178.0,2002,Time destroys everything.,"Drama, Thriller, Crime",Gaspar Noé,/rxeDxo8FvZpLu6iplNpxdtAVnfu.jpg,"""Time destroys everything.""","brotherhood, bullying, disappearance, police investigation, neighborhood"
Dirty Harry,2640.0,1971,Dirty Harry And The Homicidal Maniac...Harry's The One With The Badge.,"Action, Crime, Thriller",Don Siegel,/scl2JDHzYoIEs5xyYy5ITCfyY0G.jpg,"""Dirty Harry And The Homicidal Maniac...Harry's The One With The Badge.""","sniper, police, ambush, chase, ransom, san francisco, california, kidnapping, psychopath, detective, mayor, investigation, assault, swimming pool, beating, serial killer, gunfight, maniac, school bus, revolver, neo-noir"
